City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
302,Kamenka,RU,51.3223,42.7678,33.82,85,100,11.77,light snow
303,Sao Sebastiao,BR,-23.76,-45.4097,71.02,89,93,5.61,overcast clouds
304,Chongwe,ZM,-15.3292,28.682,64.33,94,98,7.72,overcast clouds
305,Byron Bay,AU,-28.65,153.6167,64.94,83,85,8.93,overcast clouds
306,Murmashi,RU,68.8154,32.8115,18.01,100,75,7.0,broken clouds
307,Zhigansk,RU,66.7697,123.3711,-37.86,99,73,1.9,broken clouds
308,Kostomuksha,RU,64.571,30.5767,27.68,98,99,3.67,light snow
309,Ondangwa,NA,-17.9167,15.95,81.5,39,97,6.82,light rain
310,Muhos,FI,64.808,25.9931,30.88,94,100,6.71,overcast clouds
311,Snezhnogorsk,RU,69.1933,33.2531,17.38,92,100,9.8,overcast clouds
312,Todos Santos,MX,23.45,-110.2167,73.65,58,0,4.83,clear sky
313,Kailua,US,21.4022,-157.7394,71.91,87,0,9.28,clear sky
314,Vardo,NO,70.3705,31.1107,28.38,86,75,23.02,broken clouds
315,Imeni Stepana Razina,RU,54.8932,44.2963,32.14,98,100,11.68,light snow
316,Ca Mau,VN,9.1769,105.15,73.8,91,86,4.05,overcast clouds
317,Mbala,ZM,-8.8402,31.3659,59.61,92,95,1.05,overcast clouds
318,Billings,US,45.7833,-108.5007,-10.5,63,21,11.99,few clouds
319,San Joaquin,US,37.9333,-121.3011,43.29,87,100,4.61,mist
320,Caravelas,BR,-17.7125,-39.2481,76.06,87,100,10.04,overcast clouds
321,Paita,PE,-5.0892,-81.1144,76.5,70,56,14.45,broken clouds
322,Port Lavaca,US,28.615,-96.6261,66.97,88,40,4.61,scattered clouds
323,Singleton,AU,-32.5667,151.1833,61.99,88,100,2.3,overcast clouds
324,Erenhot,CN,43.6475,111.9767,3.79,66,30,4.97,scattered clouds
325,Balta,UA,47.9355,29.6198,35.49,81,100,7.2,overcast clouds
326,Lamu,KE,-2.2717,40.902,79.2,84,91,14.81,overcast clouds
327,Alta Floresta,BR,-9.8756,-56.0861,77.63,91,100,4.81,overcast clouds
328,Luan,CH,46.3592,6.9759,43.61,95,100,5.73,overcast clouds
329,Guaymas,MX,27.9333,-110.9,65.88,29,0,1.81,clear sky
330,Grindavik,IS,63.8424,-22.4338,25.27,63,75,16.11,broken clouds
331,Comodoro Rivadavia,AR,-45.8667,-67.5,71.73,20,99,36.71,overcast clouds
332,Ostrovnoy,RU,68.0531,39.5131,19.15,90,100,5.79,overcast clouds
333,Newport,GB,51.5877,-2.9984,51.06,94,100,8.68,overcast clouds
334,Miramar,US,25.9873,-80.2323,86.02,65,0,11.5,clear sky
335,Boksitogorsk,RU,59.474,33.8485,32.61,94,100,9.28,overcast clouds
